id,prompt,expected_risk,expected_mode,should_ask
T001,"Fix the failing unit test in utils/date.ts",0,observe,false
T002,"Change the Save button label to Publish",1,apply-existing-conventions,false
T003,"Add an empty state to the existing tasks table",2,ask-one-question,true
T004,"Create a dashboard page for this project",3,mini-brief,true
T005,"Build a landing page for my app",4,full-brief,true
T006,"This generated UI looks ugly and too cramped",4,review,true
T007,"Add a new settings page",3,mini-brief,true
T008,"Refactor the API client",0,observe,false
T009,"Make the card component support selected state",2,assumptions-gate,true
T010,"Implement onboarding for first-time users",4,full-brief,true
T011,"Add dark mode support using existing tokens",2,assumptions-gate,true
T012,"Fix a TypeScript error in Button.tsx",1,apply-existing-conventions,false
T013,"Create an editor layout with preview and controls",4,full-brief,true
T014,"The layout feels too template-like",4,review,true
T015,"Add a new admin management page",3,mini-brief,true
T016,"Improve performance metrics aggregation",0,observe,false
T017,"Refactor dashboard API tests",0,observe,false
T018,"Update information schema docs",0,observe,false
T019,"这个页面不好看，太挤了",4,review,true
T020,"这个 UI 模板感太强，不像真实产品",4,review,true
T021,"看起来有点怪，信息层级不清",4,review,true
T022,"太丑了，不高级，有点廉价",4,review,true
T023,"做一个新的仪表盘页面",3,mini-brief,true
T024,"新增管理后台页面",3,mini-brief,true
T025,"帮我做设置页",3,mini-brief,true
T026,"创建报告页",3,mini-brief,true
T027,"设计一个新手引导流程",4,full-brief,true
T028,"做一个高保真原型",4,full-brief,true
T029,"给现有仪表盘加筛选器",2,ask-one-question,true
T030,"支持暗色模式和加载态",2,assumptions-gate,true
T031,"表格增加空状态",2,ask-one-question,true
T032,"卡片组件加选中态",2,assumptions-gate,true
T033,"调整布局间距",2,ask-one-question,true
T034,"弹窗增加错误态",2,ask-one-question,true
T035,"把按钮文案改成发布",1,apply-existing-conventions,false
T036,"修复图标对齐",1,apply-existing-conventions,false
T037,"修一个 CSS 错误",1,apply-existing-conventions,false
T038,"重构 API 接口测试",0,observe,false
T039,"优化数据库查询性能",0,observe,false
T040,"修复服务端重试逻辑",0,observe,false
T041,"更新数据转换管道",0,observe,false
T042,"给 dashboard 加筛选器",2,ask-one-question,true
T043,"这个 landing page 太模板感了",4,review,true
T044,"Add dark mode 支持",2,assumptions-gate,true
T045,"Fix 后端 unit tests",0,observe,false
T046,"管理页太乱太花",4,review,true
T047,"新增表单流程",3,mini-brief,true
T048,"做复杂仪表盘",4,full-brief,true
T049,"修复按钮类型错误",1,apply-existing-conventions,false
T050,"响应式布局有点怪",4,review,true
T051,"Refactor dashboard API tests",0,observe,false
T052,"Add dashboard filters to UI",2,ask-one-question,true
T053,"This page feels weird",4,review,true
